Text,Emotion
"ok, me time, then maybe some more me time, then off to bed ",joy
A day full of homework!! ,joy
"@cyberkamote @michivalmadrid @toooniiieee @myckle  hey guys, wag kalimutan gift nyo sakin sa sunday ha! #pabaon nyo...hehe thanks.",joy
Yeah day just got worse... ,joy
"I won't be able to sleep because I know that due to my new assignment, my pay will be wrong too this month. ",joy
I am surely not alone in feeling profoundly sad over the so-called reprieve of certain regiments in the British Army . ,sadness
Holiday party with the ladies  ,joy
Footie training tonight ,joy
give   and today as much as you can.. notice the effect of your mood and the reaction you get from others,joy
"` Estelle 's delight in Thomas made your mother very happy , "" Ashley recalled , her head resting against his chest . ",joy
"His excitement at the prospect of exploiting that potential is palpable , though he has no illusions about current difficulties . ",joy
that depressing moment when you drop your candy cane &amp; it shatters into 39975216900076542 billion pieces :( ,sadness
Not realisation of the desired profession (aviator).,sadness
@Hazen25 your text made me miss competing ,sadness
"At a party, on New Year's Eve, I met on old friend whom I had not seen for some time",joy
@TheDailyShow missing my Morning Dump... ,sadness
"Losing my girlfriend who made an end to our relationship. By this I lost an important source of support, certainty and joyful moments. I cried very intensly when that happened.",sadness
"Once my friend and I got into into a hot discussion on a very controversial topic.  At one point of the argument I disagreed with her totally and I took what she was saying as an insult.  So I couter-argued and unknowingly hurt her emotionally, I felt very sad about this.",sadness
Oppassen op en #Digo omdat @Akimbwefar een zieke collega vervangt bij @Dolfjansen en moeder @SimoneBwefar met de zus naar de #Ikea is,joy
"Que rabia en vísperas de la gran fiesta me pongo mala ,la digo a mi madre que estoy mejor pero ...no funciona ,no voy a  :(",joy
"You must have been heartbroken . "" ",sadness
Break! Imagine…Peace reigns. All are fed. All have shelter. All are healthy. All are abundant. How does THAT feel? #LJB,joy
Sebastian Village is pissing me off I still don't have my mailbox key ,sadness
Biz Marke has fallen so low ,sadness
Thanks for your prayers. Paloma is out of the hospital. The pediatricians and nurses at Dover Kent are phenomenal! ,joy
Health and social cw done for Smedders ☑ Psychology done for Pye ☑ now to do science revision then back to finish more H+S ,joy
The guard stiffened in anger . ,anger
@rebeccahochhuth napping for 4 days? i would think you are dead. thanks for leaving me with anja ,joy
How the hella do we lose Riley and Arlo White in the same day ,sadness
Can't remember the last time I was so passionate about punching someone ,anger
"@stephkaye @ldbaldwin13 Do you know what time you'll be there? I'll be loitering around the deli, sampling mulled wine and cured meats",joy
"Mum , this is for you . ",joy
When I succeded in establishing a contact with a girl (who is now my girlfriend).,joy
"Wakker... Nog ff relaxed ontbijten en dan weer opruimen, inpakken, verhuizen etc ",joy
 Ok . I'll call you Saturday morning . ,joy
"` If the manual was lying in the BMW , I think some hint of the elation of the police would have come through on the intercepts . ",joy
My friend not allowed to go to the English lectures.,sadness
"just put cheese slices on toast, melted under the grill, with beans and scrambled egg! ",joy
I found myself a place after looking for one for a long time.,joy
"I made an appointment with a friend to drink coffee togehter. However, for the third time in that week she arrived an hour too late.",anger
Sorry if I didn't reply to you yesterday the Internet stopped working :( ,sadness
@MeaganSkylark @fanzoid321 needs laid real bad. like reeaaal bad. n its like 35 tweets now. he's my buddy and he is ,sadness
Ashanaye Is By Far The Meanest Person To Walk On This Planet But I Love Her Though ,joy
MEHHH just had to break down and buy a new phone ,sadness
 There's no secret at all . The only thing for you to do is to practice more . You will succeed . ,joy
" I'm sorry , but I don't know that name . You must have the wrong number . ",sadness
I miss everyone :( @sJsnerd @JocelynEdie @alexattack45 @steviejash3 @JeremyBell21....my real family bores me. ,sadness
Church &amp; brunch with the fam then off to mt pleazy to study my life away ,joy
@EPerks3 I wish I could baby! I'm feeling lonely too! ,sadness
Me too :'( RT @Hanan_Juffali: I'm sooooooo sleeepy but I don't want the weekend to end ,joy
love mock exams! they fill my day with ,joy
" I'm sorry , sir . ",sadness
Champion training at Trelleborg HQ for a week! ,joy
i'm seeing da in an #artistic way its nt like i don't wanna see da things like it was but i got no drama you make me so fucking happy,anger
"Hello , Steven . Congratulations ! ",joy
1 more night of this homework then oh wait nvm my Thanksgiving break isn't till Wednesday ,anger
Coming home to a lovely warm bed but with the sad realization that you've only got 1/2 an hour till you have to leave again! ,sadness
I received a letter of acceptance from university.,joy
Biggest gig to date soon as well. Preparation for that begins next week.  #BusyAsSin,joy
@MarisaShawn_XO hahah oh i know the joy of having twins! (; hahah i think we should be worried about kyle attacking dylan.. ,anger
In the 1940s wives were still bitterly resentful of the fact that their husbands did not seem to realise that they needed leisure . ,anger
When I forgot the lyrics during a song contest.,sadness
Be truly glad. There is wonderful ahead! I Peter 1:6 #turnbacktogod #jesustweeters,joy
Yeah natalie makes me feel dirty inside... But yeah I'll get over it ,sadness
Stupid fucking woman on the bus talks to the bus driver every week for ages I wanna get home u stupid dirty old fuck ,anger
"@jontycarroll, see @KaleyCuoco is so fine :) in or out of the outfit always looking fit ",joy
 is right around the corner.... I love this time of the year. Lights. Mistle toe. Joy. Family.   ,joy
Leaving for the beach. 13 hour drive. ,joy
Waiting for the game to start(: with @Kinq_Hannavas @____Forever   #Nancy and others(:,joy
@TheyCallMe_Loso Carlos! I lost your number and I got a new number! :( ,sadness
I was a prefect at secondary school.  On the sports day I told others that I would take down the names of the people who misbehaved and after some time I sat down for a brief rest.  Suddenly the head prefect came and scolded me in front of others.  I was very angry as there were other prefects sitting and he picked on me.  I thought that a brief rest was not  serious enough to be blamed.,anger
I forgot to open my advent calender :(  *cries* ,sadness
That awesome feeling you get when someone tries to piss you off but you end up pissing THEM off. ,joy
To fight with a sister and to know that she doesn't care.,sadness
Ah imagine gettin' stuck to get rolled on to a stretcher,anger
Laughter is a powerful way to tap positive emotions. ,joy
The only reason I check my email at school is to see if there is free food anywhere. ,sadness
 deeply ~ connect with your soul &amp; yr true essence - your       #passion,joy
Waiting for the eagerly anticipated arrival of...THE MUPPETS CHIRSTMAS CAROL on DVD and Rizzo the Rat. ,joy
Once a week I work as a volunteer in a biologic garden. this work in the garden and the contact with other volunteers filled me with joy. They also gave me support after I failed passing my driver's test.,joy
It's not too late to submit a quote for my new book God's 24 Hour Makeover: The Emergency Reapir Contract to Complete #JOY.,joy
"The sense of joy comes to me always after a period of depression, as an organic feeling for an upsurge. I don't exclude the situative feeling but in this case the reason is not in me, it's out of me.",joy
Pie making with momma and grandma ,joy
"My mother and her friends were speaking badly about my father when they were separated, and my brothers and sisters and myself were allowed to listen.",anger
@inasar paris is a dream land!must be cold there.its almost mid of november AND ITS SO NOT COLD HERE! weather is still the same :-( ,sadness
"A stranger to the district , coming over a brow of the hill , would have stopped astonished and perhaps a little peeved to see Ploughman 's Lane lying beneath him . ",anger
@rogerrthatt19 Emmy he got mad at me today......first time ever ,sadness
"Joy! RT @JaqStone: Break! Imagine a shimmering waterfall. It clears body, mind, spirit. Let it wash thru you. Feel the release. #LJB",joy
Muse in studio working on new album. ,joy
LEE SHARPE last night relived the anguish of discovering he had a disease which he feared could not only end his career -- but kill him . ,sadness
My grandfather died thirteen years ago.,sadness
"Make the shuttlecock fly away pals, let's work out ! Friday's always pleasant and healthful. ",joy
The day my teacher of Latin and French died.,sadness
"Best thing of the day 4: Got my babies with me, a classic cartoon, coziness, and a warm home. #blessings #family #thankfulness",joy
"Terrible night's sleep. Time to go to work. On the up side, lamb dinner for tea tonight and I'm not cooking it. #Ilovemybestfriendsmum",joy
“@radyyyyx3: Its the day before the last day of classes! #finalsweek”--- good lucky! I know you will do great XO!!!,joy
After my father's death.,sadness
" Oh , that's OK . Let's just meet at the theater before the show , around 7:30 . ",joy
A friend told me that he had suffered in love and in academics.  I shared his sadness.,sadness
"Rachel could see the reasoning behind that , but nevertheless felt angry towards Damian Flint -- not because he had so obviously done the right thing , but because he was so clearly in complete control of a situation that had always been beyond Rachel . ",anger
setting myself up to crash and burn... ,joy
Campus tour in the rain ,joy
I cleaned the new house for 3 hours today and moving tomorrow. ,joy
I was scolded by my mother for no reason.,anger
"Listening to Eternal by Joy Division. Sad, mournful and beautiful all mixed together. division #Ian Curtis",joy
Don’t forget for the next 3 days tell us what brings you for a chance to win some TBS goodies! x,joy
@matt_reeves10 I hate this class. I hate school. I hate Mr. Pruitt! Learn to talk! Go kill yourself. writing,anger
When my aunt told me angrily that I was a good-for-nothing and she was fed up with my behaviour.,anger
What do I want for Christmas? Hmmm I want... @justinbieber!!! But I'd settle for a new computer since that's nearly impossible :( ,sadness
What. The. Fuck. So ready for this semester to be over. ,anger
"Just finished a football match, and got football training soon ",joy
Apparently it is possible to have too much ice cream :( ,sadness
I was about to rage on @fuckall0fyou so I got in my car and tried to leave. Gotta control my ,anger
"My life is being consumed by work, I work until midnight on the weekends now. Kill me, social life gone ",sadness
just took a test to see if i could move to canada   #hashtags,sadness
"The challenge was accepted and amidst cheers from a group of inebriated local husbands , the offended owner headed out the door in search of a couple of friendly Gardai . ",anger
Gasp! Someone mentioned me in a tweet?! Nope just spam. ,sadness
Glad my allergy medicine held me over for an hour. Loved on every puppy without getting sick...until now.   ,joy
She was tingling with excitement . ,joy
KILL ME. Why haven't I learned not to read things about books I haven't finished on the internet?   ,sadness
I don't need present's of king's but just just to be in the presence of The King  #Peace #PleasuresForEvermore,joy
Welllll time to do the ap comp homework I didn't know we had and then my photography shit. ,joy
My cassmate laughed at me when I was being scolded by the teacher.,anger
I can't find the lights for the Christmas tree:c ,sadness
Liverpool's one chant resurgence has returned... was only a matter of time! ,joy
"Help us to become more aware of the needs , the joys and the sorrows of our brothers here . ",sadness
When I failed one of my courses at school - the university of Zambia.,sadness
"Church then mommy and me time!!, decorating for christmas &lt;3 ",joy
 I went to the library and lost my bag . ,sadness
"Hoy es cumpleaños de un bato que me caga y le puse en su wall: hola, me caes mal y lo likeooo! ",joy
"Following an argument with my brother, he broke my golf clubs.",anger
Yay i get to stay home tonight! ,joy
"ugh I can't leave twitter. but but, need tooo -.- ",sadness
I would ROFL right now by my chair has arms so I can't fall off it. ,sadness
When my beloved girlfriend got married to another person.,sadness
It's the love of my life and my best friend @PalakAttack 's birthday and I'm 2786 I'm away... ,sadness
Break! You have the power to create this day any way you want. What is the grandest vision you have for it? #LJB,joy
"...suddenly all the annoying, wannabe cool, younger girls are getting Twitter ",joy
The two observers exchanged amused glances and then wandered away under the trees . ,joy
"Every time I watch Harry Potter and The Goblet of Fire, I'm like &quot;Cedric won't die this time! He can't!&quot; And he always does... :( ",sadness
"At a lack of love of my father for my mum, sadness for him more than anyone else because he does not realise how much love and happiness there could be between them, and is, and how much he is damaging himself apart from mum.",sadness
Working till 9 then 1250 word research paper. ,joy
"The that was filling this #building from her, from his #death will linger here well after we leave. #Someone will feel it one day.",sadness
 Let me see . How about 6:30 at the gate of the club ? ,joy
am dying with happiness at the 8 mocks that await me this week ,joy
 Fine ! I want a divorce ! ,anger
My fiancT's family was adopting a 5 years old boy. I felt myself close to him as I never felt before. After some time his mother demanded the care of the kid and we were obliged to send him back.,sadness
"Ahhh Jus Love My Girl Amy, Makes Me Laugh, Curled Mi Hair N Everything,Den Dance N Singing Video After ",joy
I believe it was F*CK OFF. RT @RadioSpecialK: @benjaminphoenix remember when u told our boss to go F*ck himself?  #issues,anger
"Last day of class for the semester. Now, 6 finals. ",joy
@darlingstewie i had a sandwich today and didn't throw up. ,joy
"Removal van outside. Looks like it's taking noisy, argumentative neighbours and their stuff out of my life forever. ",joy
 Jake just broke up with me . ,sadness
I'm finally over it. Good Morning people. Feeling good about it....,joy
Someone (a boy) paid special attention to me.,joy
When the person I'm having the affair with won't talk to me in public.,anger
I look extra disgusting today. ,joy
Got a letter from @HBUMCYouth this afternoon. Brightened my day after taking my third final.  THANK YOU ,joy
Don't miss our Christmas Eve Candlelighting service. 7 pm Xmas Eve at Semiahmoo House in   ,joy
Someone told a lie that I had stolen his money.,anger
I Hate When Big Ppl Tweet Freaking Like Ewwww ,joy
One of the steps to getting what God has for you is to get up! Rise &amp; Shine! Have a great day tweeps! #Faith #focus,joy
 I got the message . I'm quiting . ,anger
"@radikalchick Eh. RYAN GOSLING. With the slightest possibility of such sexiness in our midst, we are but blinded, hopeful fangirls. ",sadness
Trying to support a friend whose world just came crashing down on her. ,sadness
